Datum,R
06.03.2020,2.3
07.03.2020,2.6
08.03.2020,2.75
09.03.2020,3.2
10.03.2020,3.3
11.03.2020,3.25
12.03.2020,2.9
13.03.2020,2.7
14.03.2020,2.3
15.03.2020,1.9
16.03.2020,1.75
17.03.2020,1.5
18.03.2020,1.35
19.03.2020,1.25
20.03.2020,01.05
21.03.2020,0.95
22.03.2020,0.9
23.03.2020,0.9
24.03.2020,0.9
25.03.2020,0.95
26.03.2020,1
27.03.2020,0.9
28.03.2020,0.95
29.03.2020,0.9
30.03.2020,0.9
31.03.2020,0.95
01.04.2020,0.95
02.04.2020,01.05
03.04.2020,1
04.04.2020,0.95
05.04.2020,0.9
06.04.2020,0.85
07.04.2020,0.85
08.04.2020,0.9
09.04.2020,0.9
